Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026
Michael Harboy,150048,Cedar Grove Wine Cellar,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/6/2026,1.00,1.00,15.00
Michael Harboy,150010,Cloverleaf Tavern,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/14/2026,1.00,1.00,6.00
Mike Ast,12011,Bottle King (A) Wayne,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/6/2026,1.00,1.00,10.00
Mike Ast,93003,Mahwah Liqrs (P),3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/4/2026,1.00,1.00,3.00
Mike Ast,93003,Mahwah Liqrs (P),9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,5.00
Mike Ast,96002,Wine & Spirit World(W),3954,Sam Adams Jack-O Pumpkin Ale 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,3.00
Mike Ast,12011,Bottle King (A) Wayne,7641,Long Trail Harvest Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Long Trail,8/6/2026,1.00,1.00,3.00
Mike Ast,96002,Wine & Spirit World(W),9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/7/2026,1.00,1.00,4.00
Mike Ast,88005,Waldwick Wine/Spirits,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/7/2026,1.00,1.00,4.00
Mike Ast,12011,Bottle King (A) Wayne,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,7.00
Mike Ast,88005,Waldwick Wine/Spirits,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/7/2026,1.00,1.00,2.67
Mike Ast,88005,Waldwick Wine/Spirits,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/7/2026,1.00,1.00,2.00
Mike Ast,96002,Wine & Spirit World(W),3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,5.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/4/2026,1.00,1.00,30.00
Mike Ast,96002,Wine & Spirit World(W),3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,5.00
Mike Ast,87001,Uncorked Wine & Spirits (Hohokus),4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/5/2026,1.00,1.00,3.00
Mike Ast,87001,Uncorked Wine & Spirits (Hohokus),6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/5/2026,1.00,1.00,1.00
Mike Ast,18001,Grand Opening Liq (A)_2,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/6/2026,1.00,1.00,3.00
Mike Ast,12011,Bottle King (A) Wayne,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/6/2026,1.00,1.00,5.00
Mike Ast,81006,Fair Lawn Wine & Spirits,8143,Angry Orchard Thriller Variety 2/12/12 oz Can,Case Cider,2/12/12oz Can,Angry Orchard,8/6/2026,1.00,1.00,1.00
Mike Ast,12011,Bottle King (A) Wayne,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/6/2026,1.00,1.00,6.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,60027,Sierra Nevada West Ghost IPA 6/4/16 oz Can,Case Beer,6/4/16oz Can,Sierra Nevada,8/4/2026,1.00,1.00,2.67
Mike Ast,19027,Goffle Road Wine and More,8143,Angry Orchard Thriller Variety 2/12/12 oz Can,Case Cider,2/12/12oz Can,Angry Orchard,8/4/2026,1.00,1.00,3.00
Mike Ast,88005,Waldwick Wine/Spirits,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/7/2026,1.00,1.00,2.00
Mike Ast,96002,Wine & Spirit World(W),9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/7/2026,1.00,1.00,1.33
Mike Ast,12011,Bottle King (A) Wayne,5344,Great Lakes Biergarten Party Pack 2/12/12 oz Can,Case Beer,2/12/12oz Can,Great Lakes,8/6/2026,1.00,1.00,5.00
Mike Ast,96002,Wine & Spirit World(W),4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,5.00
Mike Ast,12011,Bottle King (A) Wayne,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,10.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/4/2026,1.00,1.00,5.00
Mike Ast,88005,Waldwick Wine/Spirits,3954,Sam Adams Jack-O Pumpkin Ale 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,3.00
Mike Ast,88005,Waldwick Wine/Spirits,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,2.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/4/2026,1.00,1.00,2.67
Mike Ast,18001,Grand Opening Liq (A)_2,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/10/2026,1.00,1.00,6.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/4/2026,1.00,1.00,4.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/10/2026,1.00,1.00,10.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,3.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,5.00
Mike Ast,18001,Grand Opening Liq (A)_2,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/10/2026,1.00,1.00,2.00
Paul Mclaughlin,50001,Andy's Corner (Z),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/5/2026,1.00,1.00,1.00
Phil Ernst,76021,Saddle Brook Liquor & Bar,8143,Angry Orchard Thriller Variety 2/12/12 oz Can,Case Cider,2/12/12oz Can,Angry Orchard,8/3/2026,1.00,1.00,2.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/3/2026,1.00,1.00,3.00
Phil Ernst,83001,Food Universe Marketplace,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/10/2026,1.00,1.00,6.67
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/10/2026,1.00,1.00,8.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,25.00
Phil Ernst,85002,Acme Markets (Midland Park),4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,2.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/3/2026,1.00,1.00,2.67
Phil Ernst,89007,Acme Markets (Allendale),4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,1.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,25.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/3/2026,1.00,1.00,5.00
Phil Ernst,83001,Food Universe Marketplace,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/10/2026,1.00,1.00,6.67
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/6/2026,1.00,1.00,2.00
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/3/2026,1.00,1.00,3.00
Phil Ernst,80041,PRIME WINE CELLAR Liquor & Beer,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/5/2026,1.00,1.00,1.33
Phil Ernst,83010,Bottle King (A) Glen Rock,11682,Southern Tier Pumqueen 6/4/16 oz Can,Case Beer,6/4/16oz Can,Southern Tier,8/7/2026,1.00,1.00,9.33
Phil Ernst,83010,Bottle King (A) Glen Rock,930,Leinenkugel Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Leinenkugel,8/7/2026,1.00,1.00,6.00
Phil Ernst,25010,Stew Leonard's Wines & Spirits of Clifton,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/6/2026,1.00,1.00,6.67
Phil Ernst,83010,Bottle King (A) Glen Rock,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,5.00
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/3/2026,1.00,1.00,3.00
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/6/2026,1.00,1.00,3.00
Phil Ernst,80026,Stew Leonard's(A) Paramus Wine,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/6/2026,1.00,1.00,2.00
Phil Ernst,80026,Stew Leonard's(A) Paramus Wine,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,3.00
Phil Ernst,85002,Acme Markets (Midland Park),9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/11/2026,1.00,1.00,1.00
Phil Ernst,46019,Palisades Wine And Liquor,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/4/2026,1.00,1.00,2.00
Phil Ernst,83010,Bottle King (A) Glen Rock,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/7/2026,1.00,1.00,8.00
Phil Ernst,83001,Food Universe Marketplace,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/10/2026,1.00,1.00,3.00
Phil Ernst,83010,Bottle King (A) Glen Rock,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,5.00
Phil Ernst,80026,Stew Leonard's(A) Paramus Wine,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/6/2026,1.00,1.00,6.67
Phil Ernst,85002,Acme Markets (Midland Park),3954,Sam Adams Jack-O Pumpkin Ale 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,1.00
Phil Ernst,83010,Bottle King (A) Glen Rock,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/7/2026,1.00,1.00,10.00
Phil Ernst,83010,Bottle King (A) Glen Rock,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/6/2026,1.00,1.00,10.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,10.00
Shane Barreca,73003,Bottle King (A) Hillsdale,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/6/2026,1.00,1.00,5.00
Shane Barreca,67004,Beverage Barn (A),3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,1.00
Shane Barreca,60001,Bottle King (A) Dumont,930,Leinenkugel Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Leinenkugel,8/10/2026,1.00,1.00,7.00
Shane Barreca,92008,Ramsey Wine & Liquor,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/10/2026,1.00,1.00,2.00
Shane Barreca,60001,Bottle King (A) Dumont,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/10/2026,1.00,1.00,5.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,5344,Great Lakes Biergarten Party Pack 2/12/12 oz Can,Case Beer,2/12/12oz Can,Great Lakes,8/7/2026,1.00,1.00,5.00
Shane Barreca,75004,Cork & Keg (A),3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,2.00
Shane Barreca,92011,Bottle King (A) Ramsey,930,Leinenkugel Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Leinenkugel,8/10/2026,1.00,1.00,7.00
Shane Barreca,60001,Bottle King (A) Dumont,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/3/2026,1.00,1.00,5.00
Shane Barreca,92011,Bottle King (A) Ramsey,11236,Flying Dog The Fear 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Flying Dog Brewing Co,8/6/2026,1.00,1.00,10.00
Shane Barreca,67005,Shoprite Liq (A)Northvle,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/6/2026,1.00,1.00,6.67
Shane Barreca,67004,Beverage Barn (A),3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,1.00
Shane Barreca,75004,Cork & Keg (A),6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/7/2026,1.00,1.00,2.00
Shane Barreca,92011,Bottle King (A) Ramsey,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/3/2026,1.00,1.00,3.00
Shane Barreca,75004,Cork & Keg (A),3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,2.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/4/2026,1.00,1.00,10.00
Shane Barreca,75004,Cork & Keg (A),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/7/2026,1.00,1.00,10.00
Shane Barreca,60001,Bottle King (A) Dumont,8143,Angry Orchard Thriller Variety 2/12/12 oz Can,Case Cider,2/12/12oz Can,Angry Orchard,8/3/2026,1.00,1.00,5.00
Shane Barreca,67005,Shoprite Liq (A)Northvle,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/6/2026,1.00,1.00,6.67
Shane Barreca,67005,Shoprite Liq (A)Northvle,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,5.00
Shane Barreca,92011,Bottle King (A) Ramsey,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/6/2026,1.00,1.00,5.00
Shane Barreca,67004,Beverage Barn (A),3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/3/2026,1.00,1.00,3.00
Shane Barreca,75004,Cork & Keg (A),3954,Sam Adams Jack-O Pumpkin Ale 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,2.00
Shane Barreca,67004,Beverage Barn (A),4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/3/2026,1.00,1.00,3.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/4/2026,1.00,1.00,10.00
Shane Barreca,92011,Bottle King (A) Ramsey,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/10/2026,1.00,1.00,4.00
Shane Barreca,67005,Shoprite Liq (A)Northvle,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/11/2026,1.00,1.00,5.00
Shane Barreca,60001,Bottle King (A) Dumont,5344,Great Lakes Biergarten Party Pack 2/12/12 oz Can,Case Beer,2/12/12oz Can,Great Lakes,8/6/2026,1.00,1.00,5.00
Shane Barreca,75002,Shop Rite Liq (A)Emerson,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/11/2026,1.00,1.00,5.00
Shane Barreca,74009,Westwood Wine and Liquors,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/5/2026,1.00,1.00,10.00
Shane Barreca,75002,Shop Rite Liq (A)Emerson,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/11/2026,1.00,1.00,5.00
Shane Barreca,92011,Bottle King (A) Ramsey,6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,Case Beer,4/6/12oz Can,Voodoo Family,8/6/2026,1.00,1.00,5.00
Shane Barreca,92008,Ramsey Wine & Liquor,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/10/2026,1.00,1.00,1.00
Shane Barreca,75004,Cork & Keg (A),9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/7/2026,1.00,1.00,3.00
Shane Barreca,75004,Cork & Keg (A),4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/7/2026,1.00,1.00,2.00
Shane Barreca,74005,Winemart Discount,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/5/2026,1.00,1.00,1.00
Shane Barreca,74009,Westwood Wine and Liquors,4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/5/2026,1.00,1.00,1.00
Shane Barreca,60001,Bottle King (A) Dumont,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/3/2026,1.00,1.00,10.00
Shane Barreca,74009,Westwood Wine and Liquors,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/5/2026,1.00,1.00,2.00
Shane Barreca,67005,Shoprite Liq (A)Northvle,9485,Athletic Oktoberfest Non-Alcoholic 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/6/2026,1.00,1.00,5.00
Shane Barreca,92011,Bottle King (A) Ramsey,7641,Long Trail Harvest Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Long Trail,8/6/2026,1.00,1.00,7.00
Shane Barreca,92011,Bottle King (A) Ramsey,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/10/2026,1.00,1.00,7.00
Shane Barreca,75004,Cork & Keg (A),9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/10/2026,1.00,1.00,1.33
Shane Barreca,92011,Bottle King (A) Ramsey,4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/3/2026,1.00,1.00,6.00
Shane Barreca,67004,Beverage Barn (A),4824,Shiner Oktoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Shiner,8/3/2026,1.00,1.00,1.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/4/2026,1.00,1.00,25.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,9161,1911 Haunted Hayride 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/4/2026,1.00,1.00,13.33
Shane Barreca,74005,Winemart Discount,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/5/2026,1.00,1.00,1.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,9125,1911 Cider Donut 6/4/16 oz Can,Case Cider,6/4/16oz Can,1911 Hard Cider,8/4/2026,1.00,1.00,13.33
Shane Barreca,75004,Cork & Keg (A),9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/7/2026,1.00,1.00,2.00
Shane Barreca,60001,Bottle King (A) Dumont,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/10/2026,1.00,1.00,5.00
Shane Barreca,73003,Bottle King (A) Hillsdale,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/7/2026,1.00,1.00,4.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,11682,Southern Tier Pumqueen 6/4/16 oz Can,Case Beer,6/4/16oz Can,Southern Tier,8/4/2026,1.00,1.00,13.33
Shane Barreca,74009,Westwood Wine and Liquors,9609,Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Athletic,8/5/2026,1.00,1.00,1.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,60027,Sierra Nevada West Ghost IPA 6/4/16 oz Can,Case Beer,6/4/16oz Can,Sierra Nevada,8/4/2026,1.00,1.00,13.33
Shane Barreca,92011,Bottle King (A) Ramsey,8143,Angry Orchard Thriller Variety 2/12/12 oz Can,Case Cider,2/12/12oz Can,Angry Orchard,8/3/2026,1.00,1.00,4.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,4038,Sam Adams Jack-O Pumpkin 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/4/2026,1.00,1.00,20.00
Shane Barreca,70001,Montvale Wine/Liq & Beer,12130,Dogfish Head Fall Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Dogfish Head Beer,8/11/2026,1.00,1.00,5.00
